"reg_code"	"name"	"age"	"1925"	"1930"	"1935"	"1940"	"1945"	"1950"	"1955"	"1960"	"1965"	"1970"	"1975"	"1980"	"1985"	"1990"	"1995"	"2000"	"2005"	"2010"	"2015"
662	"Newfoundland and Labrador"	"10-14"						17.63342	21.82521	28.11698	31.60358	33.0575	34.568	32.206	29.547	25.397	22.345	18.35	15.778	14.076	13.233
662	"Newfoundland and Labrador"	"15-19"						16.59999	17.15013	20.5252	25.46804	29.3787	31.397	32.042	30.512	28.642	24.646	20.792	17.896	15.958	14.215
662	"Newfoundland and Labrador"	"20-24"						15.16657	15.27506	15.48329	16.90806	22.13731	26.444	26.568	27.529	25.483	23.778	18.389	17.256	16.469	15.529
662	"Newfoundland and Labrador"	"25-29"						13.56658	14.11671	14.1833	14.1734	16.3004	23.265	24.943	24.828	24.681	22.065	16.786	14.967	15.408	15.673
662	"Newfoundland and Labrador"	"30-34"						12.5	13.11671	13.44164	13.51061	13.60029	17.174	22.832	24.058	24.059	23.201	19.055	16.207	15.211	15.992
662	"Newfoundland and Labrador"	"35-39"						11.29179	12.73342	13.22493	13.24907	12.97124	13.964	16.697	22.094	23.712	23.306	21.471	18.939	17.14	15.519
662	"Newfoundland and Labrador"	"40-44"						9.03342	11.57507	12.70001	12.67072	12.42822	13.033	13.724	16.175	21.483	22.984	21.916	21.304	19.412	17.234
662	"Newfoundland and Labrador"	"45-49"						7.41672	9.39178	11.15835	12.13909	12.00105	12.206	12.412	13.022	15.59	20.832	21.611	21.087	21.219	19.765
662	"Newfoundland and Labrador"	"50-54"						6.60001	7.31672	9.03344	10.58522	11.44883	11.311	11.709	11.811	12.553	14.824	19.742	21.103	21.328	21.563
662	"Newfoundland and Labrador"	"55-59"						5.85836	6.30001	6.85836	8.29116	9.97148	10.65	10.561	10.973	11.265	12.018	14.157	19.148	20.946	20.988
662	"Newfoundland and Labrador"	"60-64"						5.14164	5.35836	5.55836	6.08838	7.50441	9.426	9.789	9.727	10.164	10.561	11.268	13.851	18.916	20.343
662	"Newfoundland and Labrador"	"65-69"						4.45835	4.70001	4.65836	4.99809	5.35502	6.578	8.114	8.629	8.7	9.052	9.478	10.532	13.094	17.818
662	"Newfoundland and Labrador"	"70-74"						3.3	3.7	3.7	3.90885	4.09909	4.509	5.384	6.608	7.119	7.256	7.629	8.237	9.389	11.738
662	"Newfoundland and Labrador"	"75-79"						2.05836	2.44164	2.65836	2.70576	2.88833	2.837	3.224	3.958	4.927	5.266	5.404	5.876	6.622	7.815
662	"Newfoundland and Labrador"	"80-84"						0.93708	1.2406	1.3175	1.52431	1.64579	1.699	1.787	2.023	2.427	3.091	3.408	3.634	4.03	4.744
662	"Newfoundland and Labrador"	"85-89"						0.37994	0.38834	0.52447	0.63504	0.71162	0.755	0.848	0.887	1.024	1.205	1.665	1.679	2.002	2.253
662	"Newfoundland and Labrador"	"90-94"						0.11004	0.11288	0.11231	0.18042	0.20103	0.332	0.386	0.434	0.402	0.419	0.499	0.546	0.587	0.775
662	"Newfoundland and Labrador"	"95-99"						0.01732	0.01644	0.02238	0.01887	0.03558	0	0	0	0	0	0	0.081	0.1	0.13
662	"Newfoundland and Labrador"	"100+"						0.00392	0.00337	0.00091	0.00591	0.002	0	0	0	0	0	0	0.003	0.005	0.011
663	"Northwest Territories"	"0-4"						1.20077	1.35835	1.81671	2.52928	2.72575	2.894	2.88	3.43	3.787	2.083	1.741	1.639	1.73	1.59
663	"Northwest Territories"	"5-9"						0.86842	1.15835	1.4	1.86027	2.52597	2.913	2.69	2.911	3.164	2.045	1.987	1.653	1.447	1.878
663	"Northwest Territories"	"10-14"						0.80766	0.85836	1.05836	1.40542	1.84646	2.732	2.745	2.693	2.676	1.862	1.808	1.928	1.517	1.388
663	"Northwest Territories"	"15-19"						0.88073	0.79999	0.9	1.25141	1.43602	2.15	2.639	2.704	2.625	1.629	1.73	1.852	1.846	1.391
663	"Northwest Territories"	"20-24"						1.00983	1.15836	1.15836	1.30268	1.56003	2.285	2.468	3.09	2.988	1.663	1.531	1.851	1.877	1.828
663	"Northwest Territories"	"25-29"						0.88684	1.05835	1.29999	1.30016	1.47594	2.327	2.515	3.058	3.365	2.039	1.691	1.821	1.951	1.894
663	"Northwest Territories"	"30-34"						0.772	0.95836	1.1	1.21684	1.22969	1.819	2.255	2.864	2.953	2.388	1.869	1.854	1.743	1.954
663	"Northwest Territories"	"35-39"						0.577	0.7	0.9	0.97749	1.05376	1.351	1.464	2.292	2.515	2.058	2.036	1.822	1.657	1.69
663	"Northwest Territories"	"40-44"						0.487	0.59999	0.7	0.77133	0.82158	1.154	1.171	1.513	2.086	1.703	1.735	2.065	1.611	1.545
663	"Northwest Territories"	"45-49"						0.385	0.5	0.54164	0.60209	0.68284	0.897	1.026	1.148	1.369	1.457	1.529	1.788	1.892	1.404
663	"Northwest Territories"	"50-54"						0.284	0.30001	0.5	0.50383	0.51499	0.685	0.805	0.938	1.017	0.874	1.232	1.513	1.642	1.827
663	"Northwest Territories"	"55-59"						0.204	0.25835	0.3	0.42234	0.41016	0.517	0.601	0.71	0.806	0.583	0.744	1.148	1.285	1.587
663	"Northwest Territories"	"60-64"						0.189	0.2	0.2	0.25542	0.32585	0.404	0.416	0.493	0.554	0.432	0.454	0.649	0.914	1.092
663	"Northwest Territories"	"65-69"						0.102	0.1	0.15835	0.1725	0.15725	0.24	0.313	0.323	0.346	0.293	0.343	0.375	0.488	0.637
663	"Northwest Territories"	"70-74"						0.111	0.1	0.1	0.12667	0.10184	0.171	0.18	0.22	0.234	0.183	0.243	0.269	0.267	0.375
663	"Northwest Territories"	"75-79"						0.089	0	0.1	0.06892	0.072	0.071	0.139	0.143	0.153	0.125	0.138	0.183	0.2	0.214
663	"Northwest Territories"	"80-84"						0.007	0.019	0.022	0.029	0.045	0.05	0.048	0.087	0.088	0.071	0.091	0.097	0.112	0.155
663	"Northwest Territories"	"85-89"						0.002	0.004	0.008	0.014	0.009	0.031	0.031	0.03	0.036	0.039	0.032	0.051	0.049	0.055
663	"Northwest Territories"	"90-94"						0.001	0.001	0	0.004	0.003	0	0.013	0.019	0.024	0.017	0.017	0.005	0.02	0.026
663	"Northwest Territories"	"95-99"						0	0	0	0	0.002	0	0	0	0	0	0	0.004	0.001	0.008
663	"Northwest Territories"	"100+"						0	0	0	0	0	0	0	0	0	0	0	0	0	0.001
664	"Nova Scotia"	"0-4"	30.14164	27.94987	26.73343	28.27506	34.26712	39.94191	44.18328	46.45836	46.17424	37.28922	34.499	31.812	31.21	31.449	29.919	25.697	22.243	22.963	21.992
664	"Nova Scotia"	"5-9"	29.12493	28.95836	27.81644	27.20849	29.55836	33.18356	39.90027	42.83341	44.74406	44.51647	37.344	34.84	31.989	31.462	31.882	29.654	25.591	22.849	22.925
664	"Nova Scotia"	"10-14"	28.74164	28.7	29.48329	28.20821	28.48328	29.10849	32.88356	39.01698	41.77244	43.54551	45.267	37.656	35.144	32.185	31.865	31.738	29.597	26.29	23.089
664	"Nova Scotia"	"15-19"	26.05836	27.17507	27.65835	28.89999	27.84163	26.54165	27.50849	31.64192	36.82845	40.00226	44.044	45.298	38.324	35.701	32.753	32.056	32.011	30.51	27.266
