country_code,MigFDMb0,MigFDMb1,MigFDMsrin,MigFDMsrout,MigFDMmin
660,0.001,0.5,0.490912952705862,0.491697393104341,1e-04
662,0.001,0.5,0.523186129851934,0.524074082753982,1e-04
663,0.001,0.5,0.5,0.5,1e-04
666,0.001,0.5,0.461020123384254,0.489611374871519,1e-04
670,0.001,0.5,0.505459814309651,0.509205468739296,1e-04
674,0.007,0.5,0.514791664571411,0.510778443113773,7e-04
678,0.001,0.5,0.511814564771116,0.509370551548275,1e-04
682,0.05,0.5,0.369369553054277,0.447285541321396,0.005
686,0.007,0.5,0.463311912529361,0.446829282483062,7e-04
688,0.001,0.5,0.519758673576853,0.52215852821529,1e-04
690,5e-04,0.5,0.444545924960343,0.499545782214024,5e-05
694,0.001,0.5,0.490382246955253,0.502457096245968,1e-04
702,0.007,0.5,0.500308154402086,0.517747981954818,7e-04
703,0.001,0.5,0.486147023870208,0.50627007896166,1e-04
704,0.001,0.5,0.497367212545172,0.510252131830482,1e-04
705,0.007,0.5,0.449456527792263,0.500407751006952,7e-04
706,0.007,0.5,0.493903188909376,0.490915159686348,7e-04
710,0.007,0.5,0.486393009997505,0.455799010358476,7e-04
716,0.001,0.5,0.49466183406398,0.462628466497572,1e-04
724,0.007,0.5,0.517539167984962,0.499484720912944,7e-04
728,0.001,0.5,0.518547495824508,0.502399251717018,1e-04
729,0.007,0.5,0.494984471147407,0.495095465686667,7e-04
732,0.007,0.5,0.444170272742094,0.489180276730428,7e-04
740,0.001,0.5,0.511103948149064,0.504301614735646,1e-04
748,0.001,0.5,0.483681592505563,0.562906155402304,1e-04
752,0.007,0.5,0.490359283331307,0.506103244838904,7e-04
756,0.007,0.5,0.504031613737999,0.505719296890254,7e-04
760,0.001,0.5,0.482967189812792,0.476963559201803,1e-04
762,0.001,0.5,0.485827957266219,0.520510901424834,1e-04
764,0.007,0.5,0.523732554805569,0.532542729883173,7e-04
768,0.001,0.5,0.499143681406438,0.501752854542507,1e-04
772,0.007,0.5,0.520684537612466,0.493783502084574,7e-04
776,0.001,0.5,0.503612539799167,0.486546748919247,1e-04
780,0.001,0.5,0.514729849231163,0.551289091872899,1e-04
784,0.05,0.5,0.384600691359646,0.376029547742556,0.005
788,0.001,0.5,0.474892302965125,0.470408651298654,1e-04
792,0.007,0.5,0.502519886600847,0.503742137861411,7e-04
795,0.007,0.5,0.512901076443724,0.509275031123031,7e-04
796,5e-04,0.5,0.499186478910987,0.502940583559026,5e-05
798,0.001,0.5,0.507231583184772,0.515663024013958,1e-04
800,0.007,0.5,0.50839313382796,0.51805937386747,7e-04
804,0.001,0.5,0.511562975832988,0.529734279807358,1e-04
807,0.001,0.5,0.512665092015322,0.512950803042352,1e-04
818,0.001,0.5,0.449476154520313,0.452984762774692,1e-04
826,0.007,0.5,0.499161242447626,0.501419252523341,7e-04
831,0.007,0.5,0.5,0.5,7e-04
832,0.007,0.5,0.5,0.5,7e-04
833,5e-04,0.5,0.507172114977219,0.506257166123335,5e-05
834,0.001,0.5,0.5,0.5,1e-04
840,0.007,0.5,0.491784443748022,0.524213922002449,7e-04
850,0.001,0.5,0.515718716224588,0.52276575987331,1e-04
854,0.001,0.5,0.489460391742799,0.477011724107773,1e-04
860,0.001,0.5,0.506371305505592,0.474797826723051,1e-04
876,0.001,0.5,0.505713084102679,0.496758173541178,1e-04
882,0.001,0.5,0.500208442761715,0.490076428408758,1e-04
