country_code	country	Initials	isSmall	ProjFirstYear	MigCode	WPPAIDS	AgeMortalityType	AgeMortalityPattern	AgeMortProjMethod1	AgeMortProjMethod2	AgeMortProjPattern	AgeMortProjMethodWeights	AgeMortProjAdjSR	LatestAgeMortalityPattern	SmoothLatestAgeMortalityPattern	PasfrNorm	PasfrGlobalNorm	PasfrFarEastAsianNorm	PasfrSouthAsianNorm	MigAgeSchedule	MigAgeZeroNeg	MigAgeEqualMFratio
430	Liberia	TS	0	1950	0	1	Age specific mortality pattern	HIVmortmod	PMD	MLT	CD_North	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
434	Libya	TS	0	1950	0	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.75)"	3	0	0	Global Norm	0	0	0	0	0	0
438	Liechtenstein	PG	1	1950	9	0	Age specific mortality pattern	CD_West	PMD	MLT	CD_West	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
440	Lithuania	KA	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.9)"	3	0	0	Global Norm	0	0	0	0	0	0
442	Luxembourg	VG	0	1950	9	0	Age specific mortality pattern	CD_West	LC				0	1	1	Global Norm	1	0	0	0	0	0
450	Madagascar	VG	0	1950	0	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	0	0	0
454	Malawi	TS	0	1950	0	1	Age specific mortality pattern	HIVmortmod	PMD	MLT	CD_North	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
458	Malaysia	NL	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_North	"c(1,0.75)"	3	0	0	Global Norm	0	0	0	0	0	0
462	Maldives	SH	0	1950	0	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	0	0	0
466	Mali	TS	0	1950	0	0	Age specific mortality pattern	CD_South	PMD	MLT	CD_North	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
470	Malta	LB	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_North	"c(1,0.5)"	0	0	0	Global Norm	1	0	0	0	0	0
584	Marshall Islands	PG	1	1950	0	0	Age specific mortality pattern	CD_West	MLT		CD_West		3	0	0	Global Norm	0	0	0	0	0	0
474	Martinique	LB	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
478	Mauritania	TS	0	1950	0	0	Age specific mortality pattern	CD_North	PMD	MLT	CD_North	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
480	Mauritius	NL	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	450	0	1
175	Mayotte	VG	0	1950	0	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.75)"	3	0	0	Global Norm	0	0	0	638	0	1
484	Mexico	LB	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	0	0	0
583	Micronesia (Fed. States of)	NL	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
492	Monaco	PG	1	1950	9	0	Age specific mortality pattern	CD_West	PMD	MLT	CD_West	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
496	Mongolia	TS	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	0	0	0
499	Montenegro	KA	0	1950	0	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.9)"	3	0	0	Global Norm	0	0	0	0	0	0
500	Montserrat	PG	1	1950	9	0	Age specific mortality pattern	UN_Far_Eastern	MLT		UN_Far_Eastern		0	0	0	Global Norm	0	0	0	92	0	1
504	Morocco	TS	0	1950	0	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	0	0	0
508	Mozambique	PG	0	1950	0	1	Age specific mortality pattern	HIVmortmod	PMD	MLT	CD_West	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
104	Myanmar	TS	0	1950	9	0	Age specific mortality pattern	CD_West	PMD	MLT	CD_West	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
516	Namibia	PG	0	1950	0	1	Age specific mortality pattern	HIVmortmod	PMD	MLT	CD_West	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
520	Nauru	PG	1	1950	9	0	Age specific mortality pattern	UN_Far_Eastern	MLT		UN_Far_Eastern		0	0	0	Global Norm	0	0	0	0	0	0
524	Nepal	SH	0	1950	0	0	Age specific mortality pattern	CD_West	MLT		CD_West		3	0	0	Global Norm	0	0	0	356	0	1
528	Netherlands	VG	0	1950	0	0	Age specific mortality pattern	Life_Tables	LC				0	1	0	Global Norm	1	0	0	0	0	0
540	New Caledonia	LB	0	1950	9	0	Age specific mortality pattern	CD_West	MLT		CD_West		0	0	0	Global Norm	0	0	0	0	0	0
554	New Zealand	NL	0	1950	9	0	Age specific mortality pattern	Life_Tables	LC				0	1	1	Global Norm	0	0	0	0	0	0
558	Nicaragua	LB	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	0	0	0
562	Niger	TS	0	1950	0	0	Age specific mortality pattern	CD_South	PMD	MLT	CD_North	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
566	Nigeria	TS	0	1950	0	0	Age specific mortality pattern	CD_South	PMD	MLT	CD_North	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	0	0	0
570	Niue	PG	1	1950	0	0	Age specific mortality pattern	CD_West	MLT		CD_West		3	0	0	Global Norm	0	0	0	0	0	0
807	North Macedonia	KA	0	1950	0	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.75)"	3	0	0	Global Norm	0	0	0	0	0	0
580	Northern Mariana Islands	PG	1	1950	0	0	Age specific mortality pattern	CD_West	MLT		CD_West		3	0	0	Global Norm	0	0	0	0	0	0
578	Norway	NL	0	1950	9	0	Age specific mortality pattern	CD_West	LC				0	1	0	Global Norm	1	0	0	0	0	0
512	Oman	SH	0	1950	0	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	0	0	0
586	Pakistan	SH	0	1950	0	0	Age specific mortality pattern	UN_South_Asian	PMD	MLT	CD_West	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
