"index"	"country"	"country_code"	"age"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
2133	"Indonesia"	360	" 95"	0.469488526	0.463110373	0.456620564	0.452150236	0.446976641	0.442700009	0.438382871	0.433353059	0.429138241	0.424637694	0.419523824	0.414976323	0.389884354	0.369944315	0.353114068	0.339676094	0.328099064	0.317714565	0.307869659	0.298979349	0.290692539	0.282637802	0.275125211	0.267935377	0.261097995	0.254190871	0.247889008	0.242057785	0.236162325	0.230524697
2134	"Indonesia"	360	"100+"	0.581724098	0.576668047	0.571412485	0.568295537	0.564066194	0.560900381	0.557678764	0.553553559	0.550430604	0.54692537	0.542627492	0.539011404	0.51524793	0.495963528	0.479475368	0.466159433	0.45459775	0.444064202	0.434054553	0.424986281	0.416416175	0.408108158	0.400277344	0.392685454	0.385513794	0.378138701	0.371490662	0.365313024	0.359039187	0.353026476
2135	"Iran (Islamic Republic of)"	364	"  0"	0.309159889	0.241748116	0.191177196	0.152946213	0.125023193	0.098398593	0.074550466	0.059331235	0.050859277	0.042376351	0.035955056	0.030542304	0.026600306	0.023398158	0.020801784	0.018773438	0.016936955	0.015249692	0.013997539	0.012921943	0.011930016	0.011000959	0.010246548	0.009655938	0.009106603	0.00858827	0.008090708	0.007664573	0.007259029	0.006863905
2136	"Iran (Islamic Republic of)"	364	"  1"	0.030145859	0.024993862	0.020826884	0.017348503	0.014152593	0.009556107	0.003020588	0.002284824	0.003570693	0.002955692	0.002693974	0.002448079	0.001967065	0.001598674	0.001325409	0.001133875	0.00096313	0.000822822	0.00072153	0.000639192	0.000563705	0.000500333	0.000449576	0.00041162	0.000374236	0.000342467	0.000311247	0.000280839	0.000256014	0.000236507
2137	"Iran (Islamic Republic of)"	364	"  5"	0.008889237	0.007175187	0.005812564	0.004708555	0.00372642	0.00281919	0.003598299	0.002300819	0.001061881	0.000804126	0.000643496	0.000534254	0.000465076	0.000401281	0.000351438	0.000322327	0.000295843	0.000263473	0.000247104	0.000234251	0.0002219	0.00020832	0.0001979	0.00018971	0.00018205	0.000177106	0.000170792	0.000164626	0.000159211	0.000153728
2138	"Iran (Islamic Republic of)"	364	" 10"	0.004613405	0.003957336	0.003396809	0.0029146	0.002425691	0.002025281	0.007605207	0.00361031	0.000907484	0.000706157	0.000573045	0.00048534	0.000424573	0.000376246	0.000335322	0.000305045	0.00027625	0.000250331	0.000230711	0.000212326	0.000197951	0.000182963	0.000171107	0.000161403	0.000151217	0.000142701	0.000134323	0.000126651	0.000119805	0.000112615
2139	"Iran (Islamic Republic of)"	364	" 15"	0.003702143	0.003519181	0.00337253	0.003247565	0.00305041	0.002784094	0.028198605	0.015031491	0.001752326	0.001556575	0.001452444	0.00141135	0.001221726	0.001070897	0.000949758	0.000853885	0.000765392	0.00068853	0.000628534	0.000577137	0.000530403	0.000487135	0.000450447	0.000419269	0.000391469	0.000366702	0.000340379	0.000318628	0.000297523	0.000277616
2140	"Iran (Islamic Republic of)"	364	" 20"	0.002718675	0.002889464	0.003075017	0.003265271	0.003358549	0.003331436	0.044399173	0.024578243	0.002571128	0.00241772	0.002378654	0.002431839	0.002094558	0.001825123	0.001609845	0.001439442	0.001287521	0.00115129	0.001049379	0.000959487	0.000878018	0.000805158	0.000740442	0.00068853	0.000640991	0.000597485	0.000555361	0.000517066	0.000482152	0.00044825
2141	"Iran (Islamic Republic of)"	364	" 25"	0.00308271	0.003237629	0.003412829	0.003596868	0.003674931	0.003623772	0.041393842	0.023027925	0.002762711	0.002589641	0.002545543	0.002597242	0.002223449	0.001925772	0.001688557	0.00150574	0.001342728	0.00119611	0.001086984	0.000991681	0.000906015	0.000829435	0.000762014	0.000709018	0.000659057	0.000614127	0.000570385	0.000531694	0.000496189	0.000461517
2142	"Iran (Islamic Republic of)"	364	" 30"	0.004067128	0.004133275	0.004214539	0.004297968	0.004250375	0.004057724	0.031853311	0.017166551	0.002836859	0.00259387	0.002488654	0.002479324	0.002124087	0.001842084	0.001616674	0.001443124	0.001287472	0.001148049	0.001043808	0.000954272	0.00087147	0.000798921	0.000734827	0.00068503	0.00063691	0.000595004	0.000552937	0.000516743	0.000482564	0.000450409
2143	"Iran (Islamic Republic of)"	364	" 35"	0.005712009	0.005667892	0.005643002	0.00561625	0.005421969	0.00505467	0.019967813	0.010563222	0.003300151	0.002955574	0.002775048	0.002707012	0.00234395	0.002052631	0.001817521	0.001631732	0.001465118	0.001314238	0.001200177	0.001101838	0.001009909	0.000928253	0.000858655	0.000801471	0.000747169	0.000699103	0.000650712	0.000610207	0.000570573	0.000533953
2144	"Iran (Islamic Republic of)"	364	" 40"	0.008809331	0.008569434	0.008361929	0.00815529	0.007717192	0.007056129	0.015491154	0.008026657	0.00435913	0.003832561	0.003534204	0.003385068	0.00299214	0.002673536	0.00240925	0.002187351	0.001986403	0.001804483	0.001661387	0.001533125	0.00141587	0.00130888	0.001215296	0.001137537	0.001064689	0.000996572	0.000930314	0.000875197	0.000820387	0.000769812
2145	"Iran (Islamic Republic of)"	364	" 45"	0.013462957	0.012999565	0.012590466	0.012187953	0.011451431	0.010401757	0.019749729	0.010232743	0.006338838	0.005554162	0.0051071	0.004878491	0.004412826	0.004036022	0.003703729	0.00340441	0.003131724	0.002884084	0.002676997	0.002484534	0.002309001	0.002147919	0.002001592	0.001877131	0.001760668	0.001649827	0.001544445	0.001452556	0.001366138	0.001283433
2146	"Iran (Islamic Republic of)"	364	" 50"	0.020303433	0.019512556	0.018806253	0.018115635	0.016935776	0.015312868	0.03014007	0.015079997	0.009247135	0.008089382	0.007423009	0.007077755	0.006549005	0.006116293	0.005712613	0.005319613	0.004961105	0.004631408	0.00433553	0.004055966	0.003795012	0.003557549	0.003334002	0.003134959	0.002948355	0.002771949	0.00260215	0.002453672	0.002312403	0.002177347
2147	"Iran (Islamic Republic of)"	364	" 55"	0.031005531	0.029524049	0.028187354	0.02688125	0.024867051	0.022231715	0.035342143	0.019095288	0.012785572	0.010989203	0.009961571	0.009368861	0.00888024	0.008470893	0.008057218	0.007613241	0.007203439	0.006821535	0.006451177	0.006088917	0.005747807	0.005436302	0.005129892	0.004844665	0.004575642	0.004322075	0.004073458	0.003854311	0.00364441	0.003442433
2148	"Iran (Islamic Republic of)"	364	" 60"	0.045579068	0.043584762	0.041712725	0.039871068	0.036930558	0.033027541	0.032094456	0.023849796	0.019422308	0.016787593	0.015001654	0.014020511	0.013480707	0.013023074	0.01252189	0.011936448	0.01139361	0.010884969	0.010358505	0.009827692	0.009329838	0.008872688	0.008408549	0.007962729	0.007541559	0.007143002	0.006751799	0.006402539	0.006066339	0.005743101
2149	"Iran (Islamic Republic of)"	364	" 65"	0.061773874	0.060370068	0.05899256	0.057600174	0.054401082	0.049534675	0.041612903	0.036101683	0.031749625	0.028087032	0.025361209	0.023703588	0.022921172	0.022262071	0.021513703	0.020597029	0.019750901	0.018975394	0.018112988	0.017246739	0.016433689	0.01569412	0.01492442	0.014170981	0.013460814	0.012789606	0.012135137	0.011540628	0.010963334	0.010412947
2150	"Iran (Islamic Republic of)"	364	" 70"	0.086134284	0.085222636	0.084335306	0.08344024	0.08069768	0.075623755	0.066882137	0.058193504	0.051148056	0.045333694	0.042050047	0.039087312	0.038054764	0.037183807	0.036138495	0.034790226	0.033545915	0.032423261	0.031083683	0.029733676	0.028468729	0.027328259	0.026106143	0.024885481	0.02373862	0.022659963	0.021610458	0.020632746	0.019678532	0.018773045
2151	"Iran (Islamic Republic of)"	364	" 75"	0.123096384	0.122730888	0.122392435	0.122095788	0.120405573	0.116120627	0.108039708	0.094483698	0.083033784	0.073610271	0.069834901	0.064617416	0.063347872	0.062278335	0.060869657	0.05893293	0.057158046	0.055536452	0.053520647	0.051435394	0.049486343	0.047748021	0.045809731	0.043820352	0.041963196	0.040227638	0.038542142	0.036917005	0.035323833	0.033817095
2152	"Iran (Islamic Republic of)"	364	" 80"	0.172588807	0.173262474	0.173978103	0.174838612	0.175455181	0.173666304	0.169216217	0.149218591	0.13155602	0.116972781	0.113388865	0.104655489	0.103291507	0.102152292	0.100404057	0.097781108	0.095404217	0.09319981	0.090317429	0.087239958	0.08437292	0.081852817	0.078904951	0.075784125	0.072890136	0.070204868	0.067602901	0.064993516	0.062421478	0.059996945
2153	"Iran (Islamic Republic of)"	364	" 85"	0.236170441	0.23846112	0.240822765	0.2434988	0.247938585	0.250839138	0.254101282	0.226738921	0.201352212	0.180185427	0.178097779	0.164442119	0.163312834	0.162400085	0.160485504	0.157219386	0.154313375	0.151568014	0.1477418	0.143493501	0.139553761	0.136160899	0.131951256	0.127334076	0.123082197	0.119168582	0.115386976	0.111419413	0.107482347	0.103782377
2154	"Iran (Islamic Republic of)"	364	" 90"	0.313827867	0.318257862	0.322793315	0.327871922	0.337496424	0.347138537	0.362059103	0.327936571	0.294537006	0.266242596	0.267435574	0.24786076	0.247478139	0.247250832	0.245533193	0.241907182	0.238779283	0.235752079	0.231166718	0.225814595	0.22088497	0.216767043	0.211262628	0.204977808	0.199233929	0.19399706	0.188956661	0.18338715	0.177816366	0.172596454
2155	"Iran (Islamic Republic of)"	364	" 95"	0.403252538	0.41008896	0.41704913	0.424804728	0.440221965	0.457563633	0.485940621	0.44772404	0.408098987	0.373818302	0.37992351	0.354623145	0.355532429	0.356474091	0.355435018	0.351976879	0.34915636	0.346326965	0.341515288	0.33550717	0.330031536	0.325673831	0.319243842	0.31156102	0.304602213	0.29833354	0.292336771	0.285304791	0.278209013	0.271582761
2156	"Iran (Islamic Republic of)"	364	"100+"	0.505963102	0.514819737	0.523773987	0.533724473	0.553827772	0.577435329	0.616507349	0.57948729	0.538880887	0.503106677	0.514365959	0.486438546	0.488887555	0.491197442	0.491274511	0.488756618	0.486947985	0.484998437	0.480986632	0.475426045	0.470454923	0.466843985	0.460653785	0.452861554	0.445905783	0.43976022	0.433955612	0.426650997	0.419229017	0.412352648
2157	"Iraq"	368	"  0"	0.241343157	0.180379026	0.139122138	0.108641418	0.085718576	0.067234844	0.054172556	0.04607709	0.047965505	0.041938878	0.03957409	0.038075667	0.036643629	0.033365166	0.029376308	0.024992137	0.021434355	0.018349953	0.016277963	0.014469359	0.013065244	0.012042419	0.011133591	0.010287302	0.00955417	0.008964269	0.008425753	0.007918186	0.007441487	0.007015842
2158	"Iraq"	368	"  1"	0.032862507	0.023753597	0.016816696	0.011848465	0.008365804	0.005718504	0.002211636	0.00207561	0.003143445	0.002478531	0.002239446	0.002136933	0.002032031	0.001757325	0.001430535	0.001115633	0.000883029	0.000685563	0.00058118	0.000466721	0.000258003	0.000190362	0.000148444	0.000132395	0.000119418	0.000118339	0.000112978	0.000105105	0.000102031	0.000101233
2159	"Iraq"	368	"  5"	0.006672427	0.004807122	0.003582393	0.002810377	0.002310017	0.001940044	0.0027281	0.001811654	0.00119264	0.001068998	0.001069981	0.001261263	0.001022992	0.0009154	0.000781557	0.000636012	0.000531201	0.000436808	0.000384513	0.000346727	0.000355061	0.000339586	0.000300347	0.000254759	0.000215966	0.000203027	0.000189473	0.000180799	0.000168423	0.00016207
2160	"Iraq"	368	" 10"	0.003964689	0.002893123	0.002235684	0.001859673	0.001660949	0.001516446	0.00468509	0.002231321	0.000956612	0.000885247	0.000910361	0.001135659	0.000883467	0.000801727	0.000701469	0.000591392	0.000502176	0.000426883	0.000377116	0.00033231	0.000292715	0.000266005	0.000242502	0.000221646	0.000202281	0.000189452	0.000176624	0.000165774	0.000154781	0.000145638
2161	"Iraq"	368	" 15"	0.007205996	0.005235636	0.003974394	0.003213235	0.002767102	0.002450994	0.0195304	0.009075847	0.001512268	0.001383491	0.001417056	0.001777188	0.001372475	0.001253493	0.001107514	0.000946409	0.000814488	0.000701398	0.000621101	0.000551617	0.000489045	0.000447443	0.000408673	0.000373739	0.000342832	0.000320784	0.000298745	0.000279872	0.000260657	0.000245992
